Organism Name;SeqName;Name of element;Size (bp);ORF-1 RRM;ORF-1 DUF;ORF-1 zf-CCHC;EEP;RT;RVT;RH;GTT;Poli-A
Lunularia cruciata (L.) Dumort. ex Lindb.;RTE_Lunularia_cruciata_seq1;RTE_seq1;4312;;;;537-1328;2058-2822;;;;4305-4312
Lunularia cruciata (L.) Dumort. ex Lindb.;RTE_Lunularia_cruciata_seq2;RTE_seq2;3683;;;;512-1303;2033-2797;;;;3667-3683
Lunularia cruciata (L.) Dumort. ex Lindb.;RTE_Lunularia_cruciata_seq3;RTE_seq3;4313;;;;537-1328;2058-2822;;;;4305-4313
Lunularia cruciata (L.) Dumort. ex Lindb.;RTE_Lunularia_cruciata_seq4;RTE_seq4;4171;;;;537-1328;2058-2822;;;;4163-4171
Lunularia cruciata (L.) Dumort. ex Lindb.;RTE_Lunularia_cruciata_seq5;RTE_seq5;4337;;;;537-1328;2058-2822;;;;4320-4337
Marchantia polymorpha L.;RTE_Marchantia_polymorpha_seq1;RTE_seq1;4245;;;;303-752;1818-2582;;;;4235-4245
Marchantia polymorpha L.;RTE_Marchantia_polymorpha_seq2;RTE_seq2;4286;;;;562-1011;2077-2841;;;;4273-4286
Marchantia polymorpha L.;RTE_Marchantia_polymorpha_seq3;RTE_seq3;4287;;;;562-1011;2077-2841;;;;4276-4287
Marchantia polymorpha L.;RTE_Marchantia_polymorpha_seq4;RTE_seq4;4295;;;;543-992;2058-2822;;;;4287-4295
Ricciocarpus natans (L.) Corda;L1_Ricciocarpos_natans_seq1;L1_seq1;4916;;265-504;;1698-2138;3258-4046;;;;4905-4916
Ricciocarpus natans (L.) Corda;L1_Ricciocarpos_natans_seq2;L1_seq2;3985;;;;504-1214;2058-2852;;;;3971-3985
Sphagnum fallax (H.Klinggr.) H.Klinggr;L1_Sphagnum_fallax_seq1;L1_seq1;7498;;497-868;;2466-3221;4050-4832;6033-6329;;;7482-7498
Sphagnum fallax (H.Klinggr.) H.Klinggr;L1_Sphagnum_fallax_seq2;L1_seq2;7319;;546-917;;2467-3027;4036-4827;6155-6334;;;7311-7319
Sphagnum fallax (H.Klinggr.) H.Klinggr;L1_Sphagnum_fallax_seq3;L1_seq3;7274;;938-1210;;2634-3395;4216-5007;6327-6509;;;7260-7274
Sphagnum fallax (H.Klinggr.) H.Klinggr;RTE_Sphagnum_fallax_seq1;RTE_seq1;4238;;;;713-1195;2359-3147;;;;4227-4238
Sphagnum fallax (H.Klinggr.) H.Klinggr;RTE_Sphagnum_fallax_seq2;RTE_seq2;3996;;;;435-878;2064-2849;;;;3984-3996
Ceratodon purpureus (Hedw.) Brid.;L1_Ceratodon_purpureus_seq1;L1_seq1;6837;;291-635;;2467-3225;4056-4847;6015-6317;;;6821-6837
Ceratodon purpureus (Hedw.) Brid.;L1_Ceratodon_purpureus_seq2;L1_seq2;4920;;;;724-1482;2311-3087;4282-4569;;;4910-4920
Ceratodon purpureus (Hedw.) Brid.;L1_Ceratodon_purpureus_seq3;L1_seq3;4843;;144-503;;1795-2562;3376-4167;;;;4832-4843
Ceratodon purpureus (Hedw.) Brid.;L1_Ceratodon_purpureus_seq4;L1_seq4;6097;;114-587;;1609-2376;3193-3981;5275-5466;;;6081-6097
Ceratodon purpureus (Hedw.) Brid.;L1_Ceratodon_purpureus_seq5;L1_seq5;5536;;;;234-992;1809-2597;3786-4073;;;5525-5536
Thuidium tamariscinum (Hedw.) Schimp.;L1_Thuidium_tamariscinum_seq1;L1_seq1;6932;;238-399;;2564-3313;4146-4934;6216-6404;;;6912-6932
Thuidium tamariscinum (Hedw.) Schimp.;L1_Thuidium_tamariscinum_seq2;L1_seq2;6747;;259-606;;2516-3268;4093-4881;6085-6351;;;6740-6747
Thuidium tamariscinum (Hedw.) Schimp.;L1_Thuidium_tamariscinum_seq3;L1_seq3;7044;;315-581;;2389-3150;3976-4764;6058-6279;;;7033-7044
Thuidium tamariscinum (Hedw.) Schimp.;L1_Thuidium_tamariscinum_seq4;L1_seq4;7023;;380-736;;2644-3405;4219-5010;6299-6481;;;7019-7023
Antitrichia curtipendula (Hedw.) Brid.;L1_Antitrichia_curtipendula_seq1;L1_seq1;7765;;239-643;;2463-3227;4041-4832;6135-6299;;;7747-7765
Antitrichia curtipendula (Hedw.) Brid.;L1_Antitrichia_curtipendula_seq2;L1_seq2;5156;;;;199-516;1336-2121;3376-3591;;;5146-5156
Antitrichia curtipendula (Hedw.) Brid.;L1_Antitrichia_curtipendula_seq3;L1_seq3;5365;;;;231-1007;1821-2603;3891-4112;;;5353-5365
Antitrichia curtipendula (Hedw.) Brid.;L1_Antitrichia_curtipendula_seq4;L1_seq4;8035;;419-772;;2787-3347;4164-4946;6225-6425;;;8022-8035
Antitrichia curtipendula (Hedw.) Brid.;L1_Antitrichia_curtipendula_seq5;L1_seq5;5667;;;;262-870;1690-2481;3778-3945;;;5660-5667
Straminergon stramineum (Dicks. ex Brid.);L1_Straminergon_stramineum_seq1;L1_seq1;4608;;99-488;;1976-2629;3523-4326;;;;4600-4608
Straminergon stramineum (Dicks. ex Brid.);L1_Straminergon_stramineum_seq2;L1_seq2;6703;;70-411;;2631-3386;4216-5007;6298-6477;;;6694-6703
Straminergon stramineum (Dicks. ex Brid.);L1_Straminergon_stramineum_seq3;L1_seq3;6707;;92-451;;2214-2957;3772-4455;;;;6682-6707
Straminergon stramineum (Dicks. ex Brid.);L1_Straminergon_stramineum_seq4;L1_seq4;5034;;123-530;;1999-2742;3550-4350;;;;5021-5034
Pseudisothecium myosuroides (Brid.) Grout;L1_Isothecium_myosuroides_seq1;L1_seq1;6027;;519-923;;2861-3541;4461-5201;;;;6022-6027
Pseudisothecium myosuroides (Brid.) Grout;L1_Isothecium_myosuroides_seq2;L1_seq2;6958;;371-619;;2574-3326;4161-4940;6229-6414;;;6933-6958
Pseudisothecium myosuroides (Brid.) Grout;L1_Isothecium_myosuroides_seq3;L1_seq3;5909;;399-803;;2741-3421;4341-5081;;;;5902-5909
Pseudisothecium myosuroides (Brid.) Grout;L1_Isothecium_myosuroides_seq4;L1_seq4;6979;;311-667;;2563-3327;4144-4932;6220-6396;;;6974-6979
Pseudisothecium myosuroides (Brid.) Grout;L1_Isothecium_myosuroides_seq5;L1_seq5;6560;;63-329;;2663-3406;4228-5010;6199-6486;;;6548-6560
Adiantum capillus-veneris L.;L1_Adiantum_capillus_veneris_seq1;L1_seq1;5263;;527-694;;1669-2358;3145-3987;;;;5255-5263
Adiantum capillus-veneris L.;L1_Adiantum_capillus_veneris_seq2;L1_seq2;4551;;233-400;;1375-2064;2851-3693;;;;4544-4551
Adiantum capillus-veneris L.;L1_Adiantum_capillus_veneris_seq3;L1_seq3;5777;;549-854;;1554-2213;3016-3807;;;;5770-5777
Adiantum capillus-veneris L.;L1_Adiantum_capillus_veneris_seq4;L1_seq4;4403;;;;541-1224;2109-2846;3736-3960;;;4388-4403
Ceratopteris richardii Brongn.;L1_Ceratopteris_richardii_seq1;L1_seq1;4141;;;;264-959;1746-2540;3456-3680;;;4131-4141
Ceratopteris richardii Brongn.;L1_Ceratopteris_richardii_seq2;L1_seq2;5428;;295-588;;1513-2205;3016-3810;4758-4943;;;5411-5428
