Name of elements;Size (bp);ORF 1 RRM início;ORF 1 RRM  fim;ORF 1 DUF início;ORF 1 DUF fim;ORF 1 Zf-CCHC início;ORF 1 Zf-CCHC fim;ORF 1 PHA(?) início;ORF 1 PHA(?)  fim;ORF 2 EEP início;ORF 2 EEP  fim;ORF 2 RT início;ORF 2 RT fim;ORF 2 Zf-RVT início;ORF 2 Zf-RVT  fim;ORF 2 RH início;ORF 2 RH fim;(GTT)n início;(GTT)n fim;Poli-A início;Poli-A fim
Pinophyta_Pinus_tabuliformis_I_1;6444;;;124;444;;;;;1275;1970;2778;3575;4442;4654;5069;5452;;;6433;6444
Pinophyta_Taxus_chinensis_I_2;6164;;;117;539;;;;;1582;2214;3088;3846;4679;4930;5330;5692;;;6153;6164
Pinophyta_Cryptomeria_japonica_I_1;7428;;;107;496;;;;;1357;2052;2854;3588;4467;4715;5142;5519;;;7403;7428
Polypodiophyta_Ceratopteris_richardii_I_7;6488;;;110;334;;;;;1192;1887;2674;3468;4423;4605;5928;6293;;;6476;6488
Monocot_Rhynchospora_filiformis_I_1;5520;;;112;477;;;;;1035;1718;2592;3395;4167;4430;4740;5111;;;5509;5520
Monocot_Rynchospora_pubera_I_2;5548;;;115;477;;;;;1059;1736;2589;3395;4167;4421;4749;5123;;;5532;5548
Monocot_Oryza_sativa_I_1;8268;;;87;257;261;410;;;1242;1583;2612;3421;7143;7445;7760;8125;;;8258;8268
Monocot_Zea_mays_I_12;5420;;;116;448;;;;;1257;1658;2721;3530;4296;4598;4908;5276;;;5409;5420
Monocot_Phoenix_dactylifera_I_1;6020;;;85;468;472;621;;;1854;2531;3318;4124;4956;5144;5493;5852;;;5993;6020
Monocot_Acorus_gramineus_I_1;5792;;;87;497;;;;;1437;2114;2898;3683;4472;4729;5105;5455;;;5760;5792
Eudicot_Acer_campestre_I_1;7200;;;70;501;505;630;;;1558;2232;3018;3824;4605;4859;5181;5543;;;7177;7200
Eudicot_Arabidopsis_thaliana_I_2;5708;;;90;500;;;;;1130;1555;2601;3404;4583;4864;5222;5605;;;5687;5708
Eudicot_Cannabis_sativa_I_2;5312;;;122;529;536;682;;;1186;1866;2635;3444;4219;4488;4800;5165;;;5274;5312
Eudicot_Daucus_carota_I_1;5292;;;90;524;528;671;;;1190;1600;2635;3441;4219;4485;4804;5169;;;5275;5292
Monocot_Sorghum_bicolor_I_1;5360;;;123;500;;;516;644;1214;1888;2681;3484;4256;4555;4880;5239;;;5343;5360
Hepatophyta_Marchantia_polymorpha_L1_1;5472;;;104;409;;;;;1888;2538;3388;4158;5165;5356;;;;;5463;5472
Bryophyta_Straminergon_stramineum_L1_1;5424;;;99;488;;;;;1976;2629;3523;4326;;;;;;;5411;5424
LINE_Sphagnum_fallax_L1_1;6432;;;78;449;;;;;2041;2796;3625;4407;5608;5904;;;;;6422;6432
Polypodiophyta_Ceratopteris_richardii_L1_1;6252;;;122;268;;;;;2351;3040;3847;4641;5586;5771;;;;;6241;6252
Polypodiophyta_Adiantum_capillus-veneris_L1_1;6478;;;112;459;;;;;1821;2561;3394;4175;5453;5632;;;;;6469;6478
Monocot_Rhynchospora_filiformis_L1_3;5444;;;108;476;;;;;1866;2555;3319;4110;4876;5130;;;;;5434;5444
Monocot_Rynchospora_pubera_L1_1;5432;;;118;489;;;;;1056;1736;2532;3335;4107;4352;;;;;5419;5432
Monocot_Rynchospora_tenerrima_L1_7;5356;;;113;367;;;;;970;1647;2455;3261;4033;4302;;;;;5346;5356
Monocot_Allium_sativum_L1_1;5472;;;90;503;;;;;1708;2121;3193;3990;4765;5004;;;;;5461;5472
Monocot_Oryza_sativa_L1_4;5704;;;115;480;;;;;1889;2575;3374;4117;4950;5195;;;;;5693;5704
Monocot_Zea_mays_L1_2;5504;;;101;394;;;;;2105;2782;3586;4380;5160;5405;;;;;5489;5504
Eudicot_Arabidopsis_thaliana_L1_6;4980;;;119;550;;;;;1222;1920;2716;3510;4300;4551;;;;;4967;4980
Eudicot_Cannabis_sativa_L1_4;5940;;;89;340;;;;;1954;2637;3427;4221;5038;5292;;;;;5925;5940
Eudicot_Solanum_lycopersicum_L1_1;4524;;;124;534;;;;;1065;1730;2541;3338;3855;4100;;;;;4507;4524
Eudicot_Helianthus_annuus_L1_3;5548;79;291;511;855;;;;;1782;2471;3261;4055;4710;4895;;;;;5522;5548
Monocot_Allium_sativum_RTE_11;4256;;;;;;;;;99;815;1635;2384;;;;;3184;3196;4245;4256
Monocot_Zea_mays_RTE_1;4316;;;;;;;;;88;795;1699;2376;;;;;3148;3164;4306;4316
Monocot_Zea_mays_RTE_9;3524;;;;;;;;;97;810;1631;2380;;;;;3148;3184;3513;3524
Monocot_Rhynchospora_breviuscula_RTE_5;3848;;;;;;;;;110;826;1652;2401;;;;;3204;3236;3835;3848
